order,ordine.APG
Amborellales,1
Nymphaeales,2
Austrobaileyales,3
Magnoliales,4
Laurales,5
Piperales,6
Canellales,7
Chloranthales,8
Arecales,9
Poales,10
Commelinales,11
Zingiberales,12
Asparagales,13
Liliales,14
Diosco reales,15
Pandanales,16
Petros aviales,17
Alismatales,18
Acorales,19
Ceratophyllales,20
Ranunculales,21
Proteales,22
Trochodendrales,23
Buxales,24
Gunnerales,25
Fabales,26
Rosales,27
Fagales,28
Cucurbitales,29
Oxalidales,30
Malpighiales,31
Celastrales,32
Zygophyllales,33
Geraniales,34
Myrtales,35
Crossosomatales,36
Picramniales,37
Malvales,38
Brassicales,39
Huerteales,40
Sapindales,41
Vitales,42
Saxifragales,43
Dilleniales,44
Berberidopsidales,45
Santalales,46
Caryophyllales,47
Cornales,48
Ericales,49
Aquifoliales,50
Asterales,51
Escalloniales,52
Bruniales,53
Apiales,54
Dipsacales,55
Paracryphiales,56
Solanales,57
Lamiales,58
Vahliales,59
Gentianales,60
Boraginales,61
Garryales,62
Mettenius ales,63
Icacinales,64
